codigo_dane_departamento,departamento,codigo_dane_municipio,municipio,desagregacion_cultivo,cultivo,ciclo_del_cultivo,grupo_cultivo,subgrupo,ano,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,nombre_cientifico_del_cultivo,codigo_del_cultivo,estado_fisico_del_cultivo,id_registro
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2019,2019A,3.0,3.0,12.0,4.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2019-2019A-76001-00001
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2019,2019B,4.0,4.0,16.0,4.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2019-2019B-76001-00002
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2020,2020A,3.0,3.0,12.0,4.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2020-2020A-76001-00003
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2020,2020B,2.5,2.5,10.0,4.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2020-2020B-76001-00004
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2021,2021A,3.0,3.0,12.0,4.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2021-2021A-76001-00005
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2021,2021B,2.0,2.0,8.0,4.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2021-2021B-76001-00006
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2022,2022A,3.0,3.0,9.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2022-2022A-76001-00007
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2022,2022B,2.0,2.0,6.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2022-2022B-76001-00008
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2023,2023A,3.0,3.0,9.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2023-2023A-76001-00009
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2023,2023B,3.0,3.0,9.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2023-2023B-76001-00010
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2024,2024A,3.0,3.0,9.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2024-2024A-76001-00011
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2024,2024B,3.0,3.0,9.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2024-2024B-76001-00012
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2025,2025A,4.0,4.0,12.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2025-2025A-76001-00013
76,Valle del Cauca,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja,2025,2025B,4.0,4.0,12.0,3.0,Beta vulgaris var. cicla,1050100,En fresco,EVA-2025-2025B-76001-00014
76,Valle del Cauca,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales,2019,2019,12.0,5.0,30.0,6.0,Persea americana,2040299,En fresco,EVA-2019-2019-76001-00015
76,Valle del Cauca,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales,2020,2020,12.0,12.0,72.0,6.0,Persea americana,2040299,En fresco,EVA-2020-2020-76001-00016
76,Valle del Cauca,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales,2021,2021,12.0,12.0,72.0,6.0,Persea americana,2040299,En fresco,EVA-2021-2021-76001-00017
76,Valle del Cauca,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales,2022,2022,12.0,12.0,72.0,6.0,Persea americana,2040299,En fresco,EVA-2022-2022-76001-00018
76,Valle del Cauca,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales,2023,2023,12.0,12.0,72.0,6.0,Persea americana,2040299,En fresco,EVA-2023-2023-76001-00019
76,Valle del Cauca,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales,2024,2024,12.0,12.0,72.0,6.0,Persea americana,2040299,En fresco,EVA-2024-2024-76001-00020
76,Valle del Cauca,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales,2025,2025,12.0,12.0,72.0,6.0,Persea americana,2040299,En fresco,EVA-2025-2025-76001-00021
76,Valle del Cauca,76001,Santiago de Cali,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2019,2019A,6.0,6.0,36.0,6.0,Cucurbita maxima,1050200,En fresco,EVA-2019-2019A-76001-00022
76,Valle del Cauca,76001,Santiago de Cali,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2019,2019B,4.0,4.0,24.0,6.0,Cucurbita maxima,1050200,En fresco,EVA-2019-2019B-76001-00023
76,Valle del Cauca,76001,Santiago de Cali,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2020,2020A,2.0,2.0,12.0,6.0,Cucurbita maxima,1050200,En fresco,EVA-2020-2020A-76001-00024
76,Valle del Cauca,76001,Santiago de Cali,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2020,2020B,2.0,2.0,12.0,6.0,Cucurbita maxima,1050200,En fresco,EVA-2020-2020B-76001-00025
76,Valle del Cauca,76001,Santiago de Cali,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2021,2021A,3.0,3.0,18.0,6.0,Cucurbita maxima,1050200,En fresco,EVA-2021-2021A-76001-00026
76,Valle del Cauca,76001,Santiago de Cali,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2021,2021B,3.0,3.0,18.0,6.0,Cucurbita maxima,1050200,En fresco,EVA-2021-2021B-76001-00027
