municipio,PIB_agro_2025_M_COP,ton_2025,rank_pesos,rank_ton,salto_rank
Alcalá,49540.0,41878.19,29,35,6
Andalucía,93233.0,524267.06000000006,20,15,-5
Ansermanuevo,80428.0,256953.49,23,21,-2
Argelia,46064.0,30099.86,34,39,5
Bolívar,127305.0,144764.91,16,28,12
Buenaventura,7497.0,9569.64,41,41,0
Bugalagrande,282777.0,1523305.4300000002,7,7,0
Caicedonia,97590.0,102804.66,19,29,10
Calima,24412.0,27994.829999999998,40,40,0
Candelaria,512277.0,3189450.36,2,2,0
Cartago,144053.0,691447.63,15,13,-2
Dagua,158993.0,165201.13,13,27,14
El Cairo,42929.0,31833.59,37,38,1
El Cerrito,332233.0,2068976.27,4,4,0
El Dovio,30965.0,34904.520000000004,39,36,-3
El Águila,46985.0,34874.89,33,37,4
Florida,287081.0,1630501.61,6,6,0
Ginebra,70595.0,392087.42000000004,26,18,-8
Guacarí,291499.0,1724737.5,5,5,0
Guadalajara de Buga,190155.0,1076932.76,11,9,-2
Jamundí,181913.0,1054762.8,12,11,-1
La Cumbre,48546.0,47356.25,30,34,4
La Unión,54149.0,253935.69,27,23,-4
La Victoria,45352.0,220468.28,35,25,-10
Obando,192380.0,1071125.4,10,10,0
Palmira,783670.0,4789231.1,1,1,0
Pradera,208054.0,1274310.21,9,8,-1
Restrepo,50610.0,77917.45,28,31,3
Riofrío,114358.0,442604.07,17,17,0
Roldanillo,109516.0,381138.97,18,19,1
San Pedro,91526.0,549116.7799999999,21,14,-7
Santiago de Cali,78476.0,468744.46,24,16,-8
Sevilla,211171.0,187469.12,8,26,18
Toro,48221.0,255466.43,31,22,-9
Trujillo,86173.0,90094.37,22,30,8
Tuluá,155132.0,841325.75,14,12,-2
Ulloa,4136.0,3588.15,42,42,0
Versalles,47834.0,57325.61,32,33,1
Vijes,42340.0,66751.7,38,32,-6
Yotoco,74620.0,338963.32,25,20,-5
Yumbo,44078.0,248589.92,36,24,-12
Zarzal,342985.0,2129868.41,3,3,0
