municipio,cultivos_distintos,shannon_wiener,area_total
El Dovio,148,4.741509319214901,15015.67
Dagua,91,4.581040595350872,34093.7
Restrepo,107,4.4189193356422525,16938.18
Vijes,91,4.342755543199518,11583.04
Calima,148,4.332026589460736,8383.54
La Cumbre,92,4.246847155309611,12162.95
Bolívar,114,4.079629158927865,54225.78
Roldanillo,208,4.048526637633574,46350.44
La Unión,133,4.001142041016401,28129.6
Caicedonia,123,3.8810028480530945,70619.23
Alcalá,110,3.707725920566669,21097.39
Versalles,71,3.6971820423579898,20537.79
Sevilla,91,3.5897831165803926,83505.9
La Victoria,67,3.5667410408563063,19300.83
Buenaventura,53,3.515266447416754,27709.0
Toro,45,3.5115989776441574,25761.37
Cartago,72,3.366500383707046,44353.950000000004
Ulloa,57,3.359389897952986,7247.8099999999995
Ansermanuevo,106,3.350992900357287,43919.5
Yotoco,68,3.34426680504367,33160.85
Argelia,81,3.3034142877270236,20559.7
Bugalagrande,67,3.303356986165647,84968.25
Obando,75,3.279512127987309,80621.41
Riofrío,66,3.27167637276912,61135.95
Trujillo,120,3.268761488658218,55047.0
Yumbo,177,3.2406876953878037,17395.76
Tuluá,94,3.2313484432057074,82779.13
Jamundí,69,3.0877343191702264,87295.57
Ginebra,52,3.03926814193147,28897.91
El Cairo,51,2.9659277645348707,35987.59
San Pedro,75,2.9449784235500394,42013.61
Andalucía,87,2.8383066677590727,32797.97
Guadalajara de Buga,69,2.7936737631407453,59261.57
Guacarí,94,2.76449277910179,97217.48
Florida,129,2.752445097864666,83266.97
Santiago de Cali,41,2.601533535294837,34001.74
El Águila,52,2.5835663389767163,42246.26
Pradera,37,2.2574212346131355,68616.74
El Cerrito,39,2.248975839527585,110415.01
Palmira,112,2.1962034319352655,216435.48
Candelaria,61,2.0526505297329725,158478.12
Zarzal,58,2.017663141629672,108300.55
