cultivo,prod_inicio,prod_fin,cagr
Patilla,255.0,964.0,30.46901111954159
Cebolla de rama,7563.2,25606.45,27.62294370559495
Ají,3085.14,10418.5,27.55751908561328
Soya,2002.3200000000002,5566.28,22.68919380443637
Aguacate,42652.2,113037.77,21.522425415092616
Tomate,37528.5,90482.18,19.245052706698008
Macadamia,102.0,241.5,18.812844283612517
Arracacha,3402.37,5947.39,11.81729336687949
Guayaba,10187.6,17666.0,11.638313812290079
Cacao,659.9499999999999,1033.28,9.380876210425026
Lulo,13203.59,19970.0,8.62685526845266
Ahuyama,7885.9,11182.25,7.234760556208375
Papa,6680.0,9358.0,6.974758735736075
Té,163.92,225.75,6.610299329210356
Plátano,260278.05,342216.35,5.626439853480614
Chontaduro,578.0,719.0,4.462450742837265
Banano,79990.83,96386.11,3.799401641966149
Zapote,172.04,207.1,3.7791556644752866
Tomate de árbol,1335.1,1521.92,2.6539359401028584
Caña,23591122.6,26816388.9,2.595978420224876
Mango,3323.6,3750.02,2.4436318446335425
Pimentón,12147.44,13625.08,2.3224333557269494
Cebolla de bulbo,1824.0,1996.64,1.8251331544674843
Guanábana,4453.1,4761.58,1.348593850082569
Perejil,50.0,52.5,0.9805797673485328
Frijol,2138.03,2154.38,0.1524788276329847
Lechuga,4095.75,4113.0,0.08409210820496948
Pitahaya,947.0,948.08,0.02279847233908061
Yuca,10571.9,10434.3,-0.2616786510726943
Uva,19770.22,19460.2,-0.31560912190480295
Papaya,16234.5,15086.619999999999,-1.4559046864375036
Cilantro,5784.0,5344.57,-1.5678668196143275
Piña,146840.0,134229.69,-1.7797936339767229
Arroz,18648.0,16965.0,-1.8739491554904064
Café,53880.56,46889.71,-2.741159166912488
Granadilla,2972.44,2583.27,-2.767524983699765
Berenjena,1276.25,1087.6,-3.148424742183531
Maracuyá,12090.9,10231.78,-3.2839585189275433
Acelga,41.6,34.0,-3.954478875799916
Durazno o albaricoque,46.0,36.0,-4.784219046155758
Habichuela,8192.84,6067.89,-5.828249106043149
Mora,5108.63,3698.59,-6.2553809995957055
Fresa,696.6,467.35,-7.672355590513391
Arveja,434.27,291.03000000000003,-7.692798167388237
Repollo,10149.5,6512.5,-8.491672527758388
Maíz,124500.21,79680.2,-8.538974554720014
Otras hortalizas,493.18,313.61,-8.656659673274191
"Calabacín, calabaza",496.0,290.0,-10.177887626159865
Cimarrón,517.75,289.0,-11.007061529569972
Pepino Cohombro,8809.9,4681.52,-11.878236266778664
Melón,4592.1,2406.3,-12.124524743270959
Stevia,3.75,1.95,-12.259386101367431
Sábila,2159.5,1069.8,-13.105982506593516
Zanahoria,1704.0,826.1800000000001,-13.479102184520597
Gulupa o cholupa,62.5,25.0,-16.74467925981269
Plantas aromáticas,1664.15,626.54,-17.74709094322925
Arazá,2.1,0.75,-18.61049751822067
Curuba,356.0,118.12,-19.799940947085314
Borojó,9312.0,1552.0,-30.11728812284208
Algodón,446.65,30.0,-41.731909876566974
Coco,3864.0,258.0,-41.800866639938405
"Malanga, achín, yota, papa china, bore",1600.0,70.0,-46.51948121374656
Sacha inchi,253.95999999999998,10.0,-47.634297230731505
