id_registro,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,tipo_anomalia
76001_cana_de_azucar_2019_permanente_cana_o_verde,Santiago de Cali,Caña,2019,4650.0,4650.0,465000.0,100.0,Anomalia multivariada (Isolation Forest)
76001_cana_de_azucar_2020_permanente_cana_o_verde,Santiago de Cali,Caña,2020,4650.0,4650.0,465000.0,100.0,Anomalia multivariada (Isolation Forest)
76001_cana_de_azucar_2021_permanente_cana_o_verde,Santiago de Cali,Caña,2021,4650.0,4650.0,464953.5,99.99,Anomalia multivariada (Isolation Forest)
76001_cana_de_azucar_2022_permanente_cana_o_verde,Santiago de Cali,Caña,2022,4650.0,4650.0,465000.0,100.0,Anomalia multivariada (Isolation Forest)
76001_cana_de_azucar_2023_permanente_cana_o_verde,Santiago de Cali,Caña,2023,4650.0,4650.0,465000.0,100.0,Anomalia multivariada (Isolation Forest)
76001_cana_de_azucar_2024_permanente_cana_o_verde,Santiago de Cali,Caña,2024,4650.0,4650.0,465000.0,100.0,Anomalia multivariada (Isolation Forest)
76036_cana_de_azucar_2019_permanente_cana_o_verde,Andalucía,Caña,2019,4160.0,4060.0,385700.0,95.0,Anomalia multivariada (Isolation Forest)
76036_cana_de_azucar_2020_permanente_cana_o_verde,Andalucía,Caña,2020,4176.52,4166.52,395819.4,95.0,Anomalia multivariada (Isolation Forest)
76036_cana_de_azucar_2021_permanente_cana_o_verde,Andalucía,Caña,2021,4226.52,4176.52,501182.4,120.0,Anomalia multivariada (Isolation Forest)
76036_cana_de_azucar_2022_permanente_cana_o_verde,Andalucía,Caña,2022,4241.52,4221.52,506582.4,120.0,Anomalia multivariada (Isolation Forest)
76036_cana_de_azucar_2023_permanente_cana_o_verde,Andalucía,Caña,2023,4271.52,4231.52,507782.4,120.0,Anomalia multivariada (Isolation Forest)
76036_cana_de_azucar_2024_permanente_cana_o_verde,Andalucía,Caña,2024,4271.52,4271.52,512582.4,120.0,Anomalia multivariada (Isolation Forest)
76041_cana_de_azucar_2019_permanente_cana_o_verde,Ansermanuevo,Caña,2019,1483.0,1483.0,222450.0,150.0,Anomalia multivariada (Isolation Forest)
76041_cana_de_azucar_2020_permanente_cana_o_verde,Ansermanuevo,Caña,2020,1625.0,1483.0,222450.0,150.0,Anomalia multivariada (Isolation Forest)
76041_cana_de_azucar_2021_permanente_cana_o_verde,Ansermanuevo,Caña,2021,1775.0,1625.0,243750.0,150.0,Anomalia multivariada (Isolation Forest)
76041_cana_de_azucar_2022_permanente_cana_o_verde,Ansermanuevo,Caña,2022,1775.0,1775.0,266250.0,150.0,Anomalia multivariada (Isolation Forest)
76041_cana_de_azucar_2023_permanente_cana_o_verde,Ansermanuevo,Caña,2023,1775.0,1775.0,218325.0,123.0,Anomalia multivariada (Isolation Forest)
76041_cana_de_azucar_2024_permanente_cana_o_verde,Ansermanuevo,Caña,2024,1775.0,1775.0,218325.0,123.0,Anomalia multivariada (Isolation Forest)
76100_aguacate_hass_2021_permanente_en_fresco,Bolívar,Aguacate,2021,4249.0,2149.0,17192.0,8.0,Anomalia multivariada (Isolation Forest)
76100_aguacate_hass_2022_permanente_en_fresco,Bolívar,Aguacate,2022,4329.0,4231.0,33848.0,8.0,Anomalia multivariada (Isolation Forest)
76100_aguacate_hass_2023_permanente_en_fresco,Bolívar,Aguacate,2023,4189.0,4031.0,32248.0,8.0,Anomalia multivariada (Isolation Forest)
76100_aguacate_hass_2024_permanente_en_fresco,Bolívar,Aguacate,2024,4189.0,4189.0,33512.0,8.0,Anomalia multivariada (Isolation Forest)
76111_cana_de_azucar_2019_permanente_cana_o_verde,Guadalajara de Buga,Caña,2019,7786.0,7786.0,895390.0,115.0,Anomalia multivariada (Isolation Forest)
76111_cana_de_azucar_2020_permanente_cana_o_verde,Guadalajara de Buga,Caña,2020,7796.0,7786.0,857560.0,110.14,Anomalia multivariada (Isolation Forest)
76111_cana_de_azucar_2021_permanente_cana_o_verde,Guadalajara de Buga,Caña,2021,7796.0,6682.0,935480.0,140.0,Anomalia multivariada (Isolation Forest)
76111_cana_de_azucar_2022_permanente_cana_o_verde,Guadalajara de Buga,Caña,2022,7796.0,7796.0,935520.0,120.0,Anomalia multivariada (Isolation Forest)
76111_cana_de_azucar_2023_permanente_cana_o_verde,Guadalajara de Buga,Caña,2023,8116.0,7796.0,935520.0,120.0,Anomalia multivariada (Isolation Forest)
76111_cana_de_azucar_2024_permanente_cana_o_verde,Guadalajara de Buga,Caña,2024,8116.0,7866.0,1022580.0,130.0,Anomalia multivariada (Isolation Forest)
76113_cana_de_azucar_2019_permanente_cana_o_verde,Bugalagrande,Caña,2019,9165.0,9165.0,1118130.0,122.0,Anomalia multivariada (Isolation Forest)
76113_cana_de_azucar_2020_permanente_cana_o_verde,Bugalagrande,Caña,2020,9165.0,9165.0,1118130.0,122.0,Anomalia multivariada (Isolation Forest)
76113_cana_de_azucar_2021_permanente_cana_o_verde,Bugalagrande,Caña,2021,9149.0,9141.0,1247206.27,136.44,Anomalia multivariada (Isolation Forest)
76113_cana_de_azucar_2022_permanente_cana_o_verde,Bugalagrande,Caña,2022,9149.0,9149.0,1463840.0,160.0,Anomalia multivariada (Isolation Forest)
76113_cana_de_azucar_2023_permanente_cana_o_verde,Bugalagrande,Caña,2023,9149.0,9149.0,1463840.0,160.0,Anomalia multivariada (Isolation Forest)
76113_cana_de_azucar_2024_permanente_cana_o_verde,Bugalagrande,Caña,2024,9149.0,9149.0,1463840.0,160.0,Anomalia multivariada (Isolation Forest)
76130_cana_de_azucar_2019_permanente_cana_o_verde,Candelaria,Caña,2019,24700.0,21172.0,2752360.0,130.0,Anomalia multivariada (Isolation Forest)
76130_cana_de_azucar_2020_permanente_cana_o_verde,Candelaria,Caña,2020,24700.0,21172.0,2752360.0,130.0,Anomalia multivariada (Isolation Forest)
76130_cana_de_azucar_2021_permanente_cana_o_verde,Candelaria,Caña,2021,24701.0,21701.0,2604120.0,120.0,Anomalia multivariada (Isolation Forest)
76130_cana_de_azucar_2022_permanente_cana_o_verde,Candelaria,Caña,2022,24691.0,24681.0,2961720.0,120.0,Anomalia multivariada (Isolation Forest)
76130_cana_de_azucar_2023_permanente_cana_o_verde,Candelaria,Caña,2023,25391.0,24691.0,3012302.0,122.0,Anomalia multivariada (Isolation Forest)
