cultivo,pares_analizados,media_A,media_B,dif_porcent,statistic_wilcoxon,p_value,diferencia_significativa
Arveja,6,177.19833333333335,133.275,-24.7876673031161,0.0,0.03125,True
Cimarrón,6,284.825,24.916666666666668,-91.2519383247023,0.0,0.03125,True
Pepino Cohombro,6,3094.8233333333333,3600.4483333333333,16.337766183745543,0.0,0.03125,True
Otras hortalizas,6,163.16,204.49666666666667,25.335049440222278,0.0,0.03125,True
Repollo,6,3695.4249999999997,4439.849999999999,20.144503000331486,0.0,0.03125,True
Ají,5,3473.1699999999996,1840.2,-47.01670232093447,0.0,0.0625,False
Pimentón,6,6633.056666666667,7231.416666666667,9.020878760269895,2.0,0.09375,False
Arracacha,6,2910.2016666666673,2466.5416666666665,-15.244991612837849,2.0,0.09375,False
Frijol,6,1127.8483333333334,1206.18,6.945230520061063,3.0,0.15625,False
"Malanga, achín, yota, papa china, bore",6,644.1666666666666,277.3333333333333,-56.946959896507124,3.0,0.15625,False
Yuca,6,6043.608333333333,4023.2333333333336,-33.42994596219421,3.0,0.15625,False
Soya,6,1607.715,2027.1516666666666,26.088993799688797,5.0,0.3125,False
Cebolla de rama,5,6766.947999999999,5262.0199999999995,-22.23939063814293,3.0,0.3125,False
Lechuga,6,1786.29,1637.6583333333335,-8.320690742637895,5.0,0.3125,False
Arroz,6,8943.116666666667,9191.101666666667,2.7729147370323983,5.0,0.3125,False
Ahuyama,6,4511.638333333333,4920.473333333333,9.061785759275178,5.0,0.3125,False
"Calabacín, calabaza",6,198.33333333333334,164.33333333333334,-17.142857142857142,1.5,0.375,False
Berenjena,6,605.3000000000001,653.4333333333333,7.95197973456686,7.0,0.5625,False
Maíz,6,48625.97,47165.380000000005,-3.003724141646936,7.0,0.5625,False
Perejil,6,27.650000000000002,47.291666666666664,71.03676913803494,5.0,0.625,False
Espinaca,5,9.72,11.22,15.432098765432098,3.0,0.625,False
Papa,6,4217.666666666667,4404.583333333333,4.431755314945058,8.0,0.6875,False
Cilantro,6,2489.7033333333334,2571.685,3.292828730598421,8.0,0.6875,False
Habichuela,6,3352.6716666666666,3394.843333333333,1.2578525683248485,9.0,0.84375,False
Tomate,6,31370.545,31578.993333333332,0.6644715076940287,9.0,0.84375,False
Patilla,6,482.9166666666667,494.56666666666666,2.4124245038826526,9.0,0.84375,False
Cebolla de bulbo,6,892.1366666666667,924.5383333333334,3.631917381866017,7.0,1.0,False
Acelga,6,18.625,18.974999999999998,1.8791946308724716,7.0,1.0,False
Melón,6,1636.5833333333333,1678.0833333333333,2.535770660420592,10.0,1.0,False
Zanahoria,6,526.2933333333334,533.3000000000001,1.331323469801377,10.0,1.0,False
