municipio,Cluster,Perfil,area_total,rendimiento_medio,diversidad,shannon_wiener
Alcalá,2,Pequenos / Diversos,24774.46,16.0,28,1.914565079409389
Andalucía,0,Medianos / Especializados,38473.08,8.0,23,1.072374569962878
Ansermanuevo,0,Medianos / Especializados,52017.58,10.0,35,1.4640301226575285
Argelia,0,Medianos / Especializados,24317.51,8.0,26,1.4109437681486756
Bolívar,2,Pequenos / Diversos,63226.4,12.0,45,2.1434097179722853
Buenaventura,0,Medianos / Especializados,30324.0,4.0,16,1.8215775438267356
Bugalagrande,0,Medianos / Especializados,100508.28,10.0,30,1.2721912575061354
Caicedonia,0,Medianos / Especializados,82380.8,9.0,27,2.0202350673897187
Calima,2,Pequenos / Diversos,9737.36,11.1,38,2.3525859793051374
Candelaria,1,Grandes / Monocultores,185340.74,12.5,20,0.06326539637438573
Cartago,0,Medianos / Especializados,52196.200000000004,7.5,24,1.3434096700734384
Dagua,2,Pequenos / Diversos,39700.62,12.0,38,2.6972299456007285
El Cairo,0,Medianos / Especializados,42010.67,7.69,23,1.1342592247513597
El Cerrito,1,Grandes / Monocultores,128715.52,13.0,22,0.43076886562566447
El Dovio,2,Pequenos / Diversos,17362.1,14.0,26,2.651847802340285
El Águila,0,Medianos / Especializados,50237.98,8.0,35,0.7980413018731157
Florida,0,Medianos / Especializados,99142.73000000001,9.0,41,0.9195233968355556
Ginebra,0,Medianos / Especializados,33602.34,7.5,31,1.1803037409492971
Guacarí,0,Medianos / Especializados,113171.83,9.0,36,0.8946139961641922
Guadalajara de Buga,0,Medianos / Especializados,69674.38,10.0,49,0.8711178129355189
Jamundí,0,Medianos / Especializados,101932.65,10.0,33,1.145578950724535
La Cumbre,2,Pequenos / Diversos,14440.85,10.0,24,2.278869246676081
La Unión,2,Pequenos / Diversos,32887.07,9.0,37,1.9322169360515908
La Victoria,2,Pequenos / Diversos,22674.06,10.0,38,1.6870826055445969
Obando,0,Medianos / Especializados,93872.72,6.0,27,1.0774971468121697
Palmira,1,Grandes / Monocultores,252756.41,10.0,43,0.35690147481883994
Pradera,0,Medianos / Especializados,79965.58,8.0,32,0.44261890255534864
Restrepo,2,Pequenos / Diversos,20092.94,12.0,39,2.4844905401246695
Riofrío,0,Medianos / Especializados,71369.09,7.0,33,1.4286297163340183
Roldanillo,2,Pequenos / Diversos,53946.82,18.0,60,1.8933628710555748
San Pedro,0,Medianos / Especializados,48886.9,8.75,37,1.0178220212183513
Santiago de Cali,0,Medianos / Especializados,39668.4,6.0,36,0.79198869004394
Sevilla,2,Pequenos / Diversos,97782.46,13.0,49,1.7873084411458164
Toro,2,Pequenos / Diversos,30157.54,10.0,36,1.6375222059762748
Trujillo,0,Medianos / Especializados,64560.24,10.0,35,1.432656720721831
Tuluá,0,Medianos / Especializados,96531.55,10.0,39,1.3796802237515478
Ulloa,0,Medianos / Especializados,8242.19,8.0,25,1.6434171582423867
Versalles,2,Pequenos / Diversos,23971.4,10.0,32,1.8100618512085922
Vijes,2,Pequenos / Diversos,13757.66,12.0,34,2.4109357990174485
Yotoco,0,Medianos / Especializados,38592.46,9.0,39,1.4231002791794267
Yumbo,2,Pequenos / Diversos,20085.72,15.0,49,1.4199379194277806
Zarzal,1,Grandes / Monocultores,126313.92,11.0,22,0.20378934784127267
