ano,periodo,produccion_predicha,tipo
2019.0,2019,24425192.38,Historico
2019.0,2019A,151066.8,Historico
2019.0,2019B,137513.15,Historico
2020.0,2020,24479732.2,Historico
2020.0,2020A,146169.93,Historico
2020.0,2020B,126690.55,Historico
2021.0,2021,25604735.080000002,Historico
2021.0,2021A,143886.29,Historico
2021.0,2021B,132271.73,Historico
2022.0,2022,25598153.67,Historico
2022.0,2022A,127959.01,Historico
2022.0,2022B,135545.94,Historico
2023.0,2023,26420421.71,Historico
2023.0,2023A,152175.24,Historico
2023.0,2023B,159371.66,Historico
2024.0,2024,27836743.490000002,Historico
2024.0,2024A,160633.17,Historico
2024.0,2024B,156729.2,Historico
,2025A,7115706.045754524,Pronostico
,2025B,6983873.993290951,Pronostico
