municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia,vv_db,vh_db,n_img_radar,coherencia_final,fuente
Alcalá,2019,0.6531857425819252,41,,2986.0,32556.25,0.0,✅ Coherente,,,,✅ Coherente,Optico
Alcalá,2020,0.6749389171193154,51,,3087.09,39578.71000000001,0.0,✅ Coherente,,,,✅ Coherente,Optico
Alcalá,2021,0.6267953273496614,36,,3253.59,47312.13,0.0,✅ Coherente,,,,✅ Coherente,Optico
Alcalá,2022,0.6723244752342391,21,,3227.96,38977.9,0.0,✅ Coherente,,,,✅ Coherente,Optico
Alcalá,2023,0.6903816190199995,38,,3005.64,37114.2,0.0,✅ Coherente,,,,✅ Coherente,Optico
Alcalá,2024,0.6732565831471413,52,,3028.56,38594.240000000005,0.0,✅ Coherente,,,,✅ Coherente,Optico
Alcalá,2025,0.7113709168706533,39,,3123.6,41878.19,0.0,✅ Coherente,,,,✅ Coherente,Optico
Ansermanuevo,2019,0.5147233329639366,18,,5660.1,246982.9,1560.0,✅ Coherente,,,,✅ Coherente,Optico
Ansermanuevo,2020,0.6122677955453233,26,,5740.299999999999,247325.5,1560.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Ansermanuevo,2021,0.5985879664215958,18,,5960.11,263948.75,1722.0,✅ Coherente,,,,✅ Coherente,Optico
Ansermanuevo,2022,0.5958262278358384,17,,6272.599999999999,289002.31,1902.0,✅ Coherente,,,,✅ Coherente,Optico
Ansermanuevo,2023,0.5849076365860042,16,,6998.429999999999,249912.9,1909.0,✅ Coherente,,,,✅ Coherente,Optico
Ansermanuevo,2024,0.5711935435112179,25,,7102.24,250889.23000000004,1879.0,✅ Coherente,,,,✅ Coherente,Optico
Ansermanuevo,2025,0.6406986046058952,20,,7084.629999999999,256953.49,1879.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Argelia,2019,0.2765463523004207,18,,2703.0,19984.3,48.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Argelia,2020,0.7604196501813426,26,,2743.3,20732.6,45.0,✅ Coherente,,,,✅ Coherente,Optico
Argelia,2021,0.7455837090381306,18,,2902.65,20182.210000000003,49.0,✅ Coherente,,,,✅ Coherente,Optico
Argelia,2022,0.5357163283816526,17,,3290.03,22188.11,63.0,✅ Coherente,,,,✅ Coherente,Optico
Argelia,2023,0.4406872187631255,16,,3302.34,23098.06,64.5,✅ Coherente,,,,✅ Coherente,Optico
Argelia,2024,0.7187456215000779,25,,3344.76,25100.16,55.5,✅ Coherente,,,,✅ Coherente,Optico
Argelia,2025,0.6091400776489372,20,,3411.87,30099.86,65.5,✅ Coherente,,,,✅ Coherente,Optico
Bolívar,2019,0.611239321925423,10,,4702.0,117608.6,822.0,✅ Coherente,,,,✅ Coherente,Optico
Bolívar,2020,0.6170665671266226,8,,5398.0,129260.21,840.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Bolívar,2021,,4,Nublado,6770.42,138048.15999999997,758.0,Sin datos satelitales,-8.91,-15.17,72.0,✅ Coherente (radar),Radar
Bolívar,2022,,3,Nublado,8949.15,148722.4,703.0,Sin datos satelitales,-8.77,-15.01,30.0,✅ Coherente (radar),Radar
Bolívar,2023,0.5736806641787549,5,,8639.6,142840.27000000002,678.0,✅ Coherente,,,,✅ Coherente,Optico
Bolívar,2024,0.6366153282541198,6,,8574.9,130421.04,572.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Bolívar,2025,,3,Nublado,8409.93,144764.91,696.0,Sin datos satelitales,-9.07,-15.41,70.0,✅ Coherente (radar),Radar
Buenaventura,2019,,1,Nublado,2738.0,23161.1,270.0,Sin datos satelitales,-8.51,-15.36,74.0,✅ Coherente (radar),Radar
Buenaventura,2020,,3,Nublado,2776.0,42067.56,270.0,Sin datos satelitales,-8.4,-15.2,83.0,✅ Coherente (radar),Radar
Buenaventura,2021,,0,Nublado,3271.0,27716.5,272.0,Sin datos satelitales,-8.4,-15.15,72.0,✅ Coherente (radar),Radar
Buenaventura,2022,,3,Nublado,4219.5,8659.95,222.0,Sin datos satelitales,-8.51,-15.22,30.0,✅ Coherente (radar),Radar
Buenaventura,2023,,3,Nublado,4408.0,13200.14,272.0,Sin datos satelitales,-8.51,-15.24,31.0,✅ Coherente (radar),Radar
Buenaventura,2024,,3,Nublado,2750.5,7330.49,272.0,Sin datos satelitales,-8.51,-15.29,31.0,✅ Coherente (radar),Radar
Buenaventura,2025,0.5883213285214928,5,,2486.1000000000004,9569.64,276.0,✅ Coherente,,,,✅ Coherente,Optico
Guadalajara de Buga,2019,0.2882022064136632,6,,9530.5,910032.75,7804.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Guadalajara de Buga,2020,0.2898204803887593,6,,9584.0,871530.3899999999,7804.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Guadalajara de Buga,2021,,3,Nublado,8394.84,950358.3,6697.0,Sin datos satelitales,-7.33,-14.35,101.0,✅ Coherente (radar),Radar
Guadalajara de Buga,2022,,4,Nublado,9608.59,949808.75,7816.0,Sin datos satelitales,-7.5,-14.51,56.0,✅ Coherente (radar),Radar
Guadalajara de Buga,2023,0.398449462410135,5,,9857.04,952558.66,7816.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Guadalajara de Buga,2024,,4,Nublado,10366.35,1043620.8,7885.0,Sin datos satelitales,-7.46,-14.48,61.0,✅ Coherente (radar),Radar
Guadalajara de Buga,2025,0.4286740535022053,5,,10365.86,1076932.7599999998,8137.0,✅ Coherente,,,,✅ Coherente,Optico
Bugalagrande,2019,0.6566159579938003,10,,13692.0,1168584.7,9630.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Bugalagrande,2020,0.6363679955295065,8,,13594.0,1167919.2,9630.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Bugalagrande,2021,,4,Nublado,13752.23,1297798.19,9541.0,Sin datos satelitales,-9.54,-15.7,115.0,✅ Coherente (radar),Radar
Bugalagrande,2022,,3,Nublado,13737.22,1512309.97,9549.0,Sin datos satelitales,-9.43,-15.59,34.0,✅ Coherente (radar),Radar
Bugalagrande,2023,0.6331732027687618,5,,13725.51,1513181.55,9549.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Bugalagrande,2024,0.6228404226290822,6,,13802.83,1514631.9700000002,9549.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Bugalagrande,2025,,3,Nublado,14882.2,1523305.4300000002,9549.0,Sin datos satelitales,-9.71,-15.94,68.0,✅ Coherente (radar),Radar
Caicedonia,2019,0.6644238488966252,9,,10809.5,110960.27,125.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Caicedonia,2020,0.6843976030004633,12,,10152.96,85850.1,125.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Caicedonia,2021,,3,Nublado,10335.48,85423.48,125.0,Sin datos satelitales,-7.84,-14.26,94.0,✅ Coherente (radar),Radar
Caicedonia,2022,0.5454965451009313,7,,10661.32,96785.78,125.0,✅ Coherente,,,,✅ Coherente,Optico
Caicedonia,2023,0.6447970759449478,7,,10884.89,99387.05,135.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Caicedonia,2024,0.5923984248138037,12,,10740.44,100118.04,135.0,✅ Coherente,,,,✅ Coherente,Optico
Caicedonia,2025,0.6700794681556131,9,,10575.77,102804.66,149.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Calima,2019,0.3712236141734029,6,,1264.0,18571.75,89.5,➖ Indeterminado,,,,➖ Indeterminado,Optico
Calima,2020,0.2911612010313553,6,,1195.4700000000005,17627.559999999998,86.5,➖ Indeterminado,,,,➖ Indeterminado,Optico
Calima,2021,,3,Nublado,1083.8200000000002,19879.7,94.5,Sin datos satelitales,-7.35,-14.38,101.0,✅ Coherente (radar),Radar
Calima,2022,,4,Nublado,1181.21,21732.2,93.5,Sin datos satelitales,-7.49,-14.53,56.0,✅ Coherente (radar),Radar
Calima,2023,0.45269860047756,5,,1380.63,25611.210000000003,107.5,✅ Coherente,,,,✅ Coherente,Optico
Calima,2024,,4,Nublado,1320.38,27584.82,122.5,Sin datos satelitales,-7.48,-14.51,61.0,✅ Coherente (radar),Radar
Calima,2025,0.476052318177148,5,,1274.1,27994.83,122.5,✅ Coherente,,,,✅ Coherente,Optico
Candelaria,2019,0.6204669390495371,11,,22536.710000000003,2829523.4,22317.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Candelaria,2020,0.6309030079658983,14,,22532.520000000004,2829924.6,22317.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Candelaria,2021,0.568836004745185,7,,22920.32,2672150.85,22701.0,✅ Coherente,,,,✅ Coherente,Optico
Candelaria,2022,0.5496321583068122,6,,26142.72,3046590.18,25952.5,✅ Coherente,,,,✅ Coherente,Optico
Candelaria,2023,0.607200700078705,8,,26161.620000000003,3097158.21,25962.5,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Candelaria,2024,0.6366624885567043,16,,26847.620000000003,3182754.7100000004,26672.5,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Candelaria,2025,0.6427528601442396,5,,26861.620000000003,3189450.3600000003,26672.5,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Cartago,2019,0.6174148299956475,41,,7209.54,559174.93,4215.6,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Cartago,2020,0.6276613873509703,51,,7234.2,571214.44,4314.88,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Cartago,2021,0.6383544782289029,36,,7149.4400000000005,551827.9299999999,4315.6,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Cartago,2022,0.6510367502503971,21,,6811.9800000000005,678271.23,4335.6,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Cartago,2023,0.6457496551769504,38,,6869.35,682280.4199999999,4385.6,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Cartago,2024,0.6203699098649388,54,,7839.07,689814.3299999998,4385.6,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Cartago,2025,0.6843742322176408,39,,7607.400000000001,691447.6299999999,4385.6,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Dagua,2019,0.5888923631612294,21,,5580.5,117612.9,327.0,✅ Coherente,,,,✅ Coherente,Optico
Dagua,2020,0.5791679049660463,20,,4751.5,115511.24,250.0,✅ Coherente,,,,✅ Coherente,Optico
Dagua,2021,0.4656853877109628,13,,5127.610000000001,102538.18,275.0,✅ Coherente,,,,✅ Coherente,Optico
Dagua,2022,0.5811741706747889,10,,5273.63,114696.66,275.0,✅ Coherente,,,,✅ Coherente,Optico
Dagua,2023,0.5455088229920485,12,,5292.41,114566.7,300.0,✅ Coherente,,,,✅ Coherente,Optico
Dagua,2024,0.6072912714274887,19,,4338.37,100709.14,100.0,✅ Coherente,,,,✅ Coherente,Optico
Dagua,2025,0.5282919337399052,13,,5373.42,165201.13,100.0,✅ Coherente,,,,✅ Coherente,Optico
El Águila,2019,0.3105053995074066,18,,5559.9,24700.86,48.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
El Águila,2020,0.7163877249374949,26,,5614.0,23539.0,30.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Águila,2021,0.6949367571527668,18,,6189.01,31047.45,30.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Águila,2022,0.5402116673507987,17,,6287.75,32391.950000000004,30.0,✅ Coherente,,,,✅ Coherente,Optico
El Águila,2023,0.6118976549422344,16,,6337.23,33834.60999999999,30.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Águila,2024,0.6771477730584298,26,,6195.88,34599.08,30.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Águila,2025,0.6197812358236491,20,,6052.56,34874.89000000001,30.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2019,0.6465142057665828,20,,18599.5,2053292.0,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2020,0.641858249642065,22,,18630.5,2050871.5,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2021,0.6141618154519087,12,,18084.76,2047354.77,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2022,0.3887840578769779,9,,18327.34,2048518.73,16965.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
El Cerrito,2023,0.6404177603054899,13,,18199.24,2064871.78,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2024,0.6240341150981751,22,,18302.94,2069517.84,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Cerrito,2025,0.633657314251922,8,,18291.09,2068976.27,16965.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
El Dovio,2019,0.5643274200971155,7,,2010.23,23624.66,278.0,✅ Coherente,,,,✅ Coherente,Optico
El Dovio,2020,0.6319528586396769,5,,2548.7,30353.2,278.0,✅ Coherente,,,,✅ Coherente,Optico
