cultivo,ciclo,h,anio,series_total,series_pronosticadas,observado_2025_t,referencia_naive_t,pron_central_t,pi80_lo,pi80_hi,pi95_lo,pi95_hi,esc_normal_t,esc_historico_t,esc_estres_t,modelo_central,delta_central_vs_naive_pct
Acelga,Transitorio,1.0,2026.0,3,2,44.0,44.0,43.20428421147281,32.82049971619651,91.06189664910232,24.807520360446077,153.96600790329737,45.38055711364767,43.20428421147281,39.07176068110263,pool_A_full,-1.8084449739254271
Acelga,Transitorio,2.0,2027.0,3,2,44.0,44.0,42.42295850512997,28.572347086378795,103.18675936836475,20.62337567170751,164.3093036919048,46.804430998750874,42.42295850512997,34.69551097093994,pool_A_full,-3.584185215613711
Aguacate,Permanente,1.0,2026.0,71,61,117257.59000000001,117257.59000000001,119794.96649384433,113665.26404575966,130747.21302898486,110104.79518631873,148308.3652036073,121830.88104755765,119794.96649384433,111158.94471041852,pool_A_full,2.1639336897887107
Aguacate,Permanente,2.0,2027.0,71,61,117257.59000000001,117257.59000000001,122387.25013247576,113400.77181215078,138401.27649061562,106569.55008986604,149824.44565837487,126582.54000294686,122387.25013247576,105377.49402093187,pool_A_full,4.374693469715485
Ahuyama,Transitorio,1.0,2026.0,22,18,11051.75,11051.75,10851.885182594197,9322.91749514397,15481.093051043195,8269.23682639389,19967.9523513875,11398.513001835356,10851.885182594197,9813.893888804,pool_A_full,-1.8084449739254271
Ahuyama,Transitorio,2.0,2027.0,22,18,11051.75,11051.75,10655.634810433412,8546.096503123936,19105.23218267522,7147.85328327434,23863.3897053101,11756.156142964655,10655.634810433412,8714.684394842854,pool_A_full,-3.584185215613711
Ají,Transitorio,1.0,2026.0,20,15,9954.5,9954.5,9774.478345070593,7547.946807135077,15617.01964323784,5660.553797588051,23097.174531090375,10266.835358813767,9774.478345070593,8839.541856819002,pool_A_full,-1.8084449739254382
Ají,Transitorio,2.0,2027.0,20,15,9954.5,9954.5,9597.712282711735,6611.535710167908,18720.956605262916,4335.094077097392,30751.96415761463,10588.970644933308,9597.712282711735,7849.4650900050365,pool_A_full,-3.5841852156137
Algodón,Transitorio,1.0,2026.0,6,1,465.0,465.0,437.2954290245501,257.1900596249907,683.6570740896565,142.9121925267911,1288.1195306870825,456.5631710628796,437.2954290245501,365.6321560555717,pool_A_full,-5.957972252784927
Algodón,Transitorio,2.0,2027.0,6,1,465.0,465.0,411.2414887005706,207.9570399391096,718.3788309709695,70.26687762135563,1344.8212716737473,448.2794175720264,411.2414887005706,287.4986527781634,pool_A_full,-11.560970171920303
Arazá,Permanente,1.0,2026.0,1,1,1.25,1.25,1.2770491711223593,1.0979569848078952,2.807363775887502,0.02649751064097898,37.266946699007406,1.298752612171605,1.2770491711223593,1.1849866681382686,pool_A_full,2.163933689788733
Arazá,Permanente,2.0,2027.0,1,1,1.25,1.25,1.3046836683714436,1.1356211876815914,3.54876540761281,0.0,20.490007597368333,1.349406678098054,1.3046836683714436,1.123354722932348,pool_A_full,4.374693469715485
Arracacha,Transitorio,1.0,2026.0,18,15,4034.7,4034.7,4110.59733801791,3411.987927300253,6515.855312118596,2804.05735584249,8370.406519722032,4159.541029200404,4110.59733801791,3866.743387967423,pool_A_full,1.8811147797335614
Arracacha,Transitorio,2.0,2027.0,18,15,4034.7,4034.7,4187.922392078702,3311.120069357388,7331.888592996728,2743.7987907312395,10497.645091241602,4288.244869160424,4187.922392078702,3705.7784787939095,pool_A_full,3.7976154876125046
Arroz,Transitorio,1.0,2026.0,6,2,16948.78,16948.78,16885.712654715295,15688.319876857617,20486.314808057996,12268.930292505944,23771.26036737165,17243.865765862713,16885.712654715295,15490.007374419903,pool_A_full,-0.3721055160589959
Arroz,Transitorio,2.0,2027.0,6,2,16948.78,16948.78,16822.87998650123,14608.747697256289,23398.818679012726,12172.722577944549,26930.205570170096,17544.089105592968,16822.87998650123,14156.790545371583,pool_A_full,-0.7428264069671675
Arveja,Transitorio,1.0,2026.0,15,11,299.56,299.56,289.9939250341441,286.8170787027005,661.4031148084752,255.6436925207121,1424.833524892481,300.2557528415301,289.9939250341441,261.522864240465,pool_A_full,-3.1933752723514064
Arveja,Transitorio,2.0,2027.0,15,11,299.56,299.56,280.73333074078243,291.1972873723806,773.4236711967253,239.0621417791137,1339.1554776592798,300.953121626499,280.73333074078243,228.31555788668945,pool_A_full,-6.2847740884021785
Banano,Permanente,1.0,2026.0,38,38,100257.41,100257.41,102426.91387149964,97121.04012275151,112001.68179620501,91921.8695622272,126032.05280167669,104167.65850164769,102426.91387149964,95042.95538565784,pool_A_full,2.163933689788755
Banano,Permanente,2.0,2027.0,38,38,100257.41,100257.41,104643.36436817588,95428.72529157993,115503.85805119008,89762.97529545607,127229.22024179735,108230.41486625173,104643.36436817588,90099.70802597186,pool_A_full,4.374693469715485
Berenjena,Transitorio,1.0,2026.0,10,7,880.75,880.75,864.8221208921519,754.7014092048028,1512.4322806127436,633.7003502279123,5445.288385335937,908.3846744964815,864.8221208921519,782.1012095427532,pool_A_full,-1.808444973925416
Berenjena,Transitorio,2.0,2027.0,10,7,880.75,880.75,849.1822887134824,708.170790265375,2310.2839045972355,570.2572785779968,4438.067746303558,936.8864227761325,849.1822887134824,694.5016201739853,pool_A_full,-3.584185215613689
Borojó,Permanente,1.0,2026.0,1,1,1164.0,1164.0,1189.1881881491408,997.3751423066132,1402.9905168647572,618.1066417439372,1799.6499136511643,1209.3984324541987,1189.1881881491408,1103.4595853703556,pool_A_full,2.163933689788733
Borojó,Permanente,2.0,2027.0,1,1,1164.0,1164.0,1214.9214319874882,762.6897010364196,1542.360353927737,378.8794247126192,1949.7091630544903,1256.567498644908,1214.9214319874882,1046.0679179946026,pool_A_full,4.374693469715485
Brevo,Permanente,,,1,0,,,,,,,,,,,,
Brócoli,Transitorio,,,1,0,,,,,,,,,,,,
Cacao,Permanente,1.0,2026.0,35,32,1167.27,1167.27,1183.4859923331169,1151.4944056904503,2813.2129361418088,1062.7856153559433,3929.1243609335497,1202.5294720525126,1183.4859923331169,1099.5131182166115,pool_A_full,1.3892237728303503
Cacao,Permanente,2.0,2027.0,35,32,1167.27,1167.27,1199.9272610867256,1229.5265124746545,2814.4710575932954,1101.1701722465473,5105.738976071734,1238.854019339908,1199.9272610867256,1035.6893410525552,pool_A_full,2.7977469725706694
Café,Permanente,1.0,2026.0,39,39,44751.55,44751.55,45373.24917131006,43138.350845493354,53838.91939774728,40616.22724117078,62702.993303373354,46103.350377403345,45373.24917131006,42153.84297165746,pool_A_full,1.3892237728303503
Café,Permanente,2.0,2027.0,39,39,44751.55,44751.55,46003.585135303445,43295.65164670761,58263.147575839066,39666.239448686,70426.32681596818,47495.9842959991,46003.585135303445,39706.9258445608,pool_A_full,2.797746972570647
"Calabacín, calabaza",Transitorio,1.0,2026.0,1,1,354.0,354.0,347.598104792304,224.30051573333787,559.627844827553,72.23931251792794,843.1244923114208,365.10720950525626,347.598104792304,314.35007457068934,pool_A_full,-1.808444973925416
"Calabacín, calabaza",Transitorio,2.0,2027.0,1,1,354.0,354.0,341.3119843367275,151.11562034538517,597.7579017168285,47.883733037046795,867.8461590488325,376.5629221263138,341.3119843367275,279.1411564480168,pool_A_full,-3.5841852156137
Caña,Permanente,1.0,2026.0,64,63,27132145.8,27132145.8,27509072.019532595,27649217.805291757,29898794.01703998,27288953.188806556,31609482.767827827,27951720.651199628,27509072.019532595,25557197.762699064,pool_A_full,1.3892237728303503
Caña,Permanente,2.0,2027.0,64,63,27132145.8,27132145.8,27891234.58771296,28556615.3673711,33511159.48069335,27878475.23508849,36670623.85442001,28796052.222404763,27891234.58771296,24073671.219978116,pool_A_full,2.7977469725706694
Cebolla de bulbo,Transitorio,1.0,2026.0,8,5,1984.0,1984.0,1948.1204517173196,1428.3501240443545,3130.078844837197,889.3913707511616,4284.990311616581,2046.2505753062949,1948.1204517173196,1761.7812088933547,pool_A_full,-1.8084449739254271
Cebolla de bulbo,Transitorio,2.0,2027.0,8,5,1984.0,1984.0,1912.8897653222239,1205.2582199467195,3604.1035811508477,688.9263098902729,6374.334401649724,2110.454343216403,1912.8897653222239,1564.4521310532916,pool_A_full,-3.584185215613711
Cebolla de rama,Transitorio,1.0,2026.0,14,12,25839.260000000002,25839.260000000002,25371.971201230474,23794.756811418058,32521.757627919367,17696.489080854022,36437.677282427496,26650.00032282708,25371.971201230474,22945.12233856336,pool_A_full,-1.8084449739254493
Cebolla de rama,Transitorio,2.0,2027.0,14,12,25839.260000000002,25839.260000000002,24913.133063256017,22185.77512858895,35089.53892074354,18677.173168628553,44263.454246796246,27486.17867565417,24913.133063256017,20375.143836612944,pool_A_full,-3.5841852156137
Chontaduro,Permanente,1.0,2026.0,3,3,332.0,332.0,339.1842598500986,265.85804046471213,454.15823931083236,170.20972583022413,640.2429881651286,344.94869379277833,339.1842598500986,314.7324590575241,pool_A_full,2.163933689788733
Chontaduro,Permanente,2.0,2027.0,3,3,332.0,332.0,346.5239823194554,257.1997546750315,570.6852031337644,116.51578219344108,1077.668933799823,358.4024137028432,346.5239823194554,298.3630144108316,pool_A_full,4.374693469715485
Cilantro,Transitorio,1.0,2026.0,25,23,6266.530000000001,6266.530000000001,6153.20325317547,5270.580179381704,9119.516121439063,4403.871806875342,10694.020978278886,6463.150512940601,6153.20325317547,5564.644555930683,pool_A_full,-1.8084449739254493
Cilantro,Transitorio,2.0,2027.0,25,23,6266.530000000001,6266.530000000001,6041.925958208002,4934.928536936716,10469.164553277647,3776.3081626928715,15593.212478183923,6665.940249695506,6041.925958208002,4941.3740991982795,pool_A_full,-3.584185215613722
Cimarrón,Transitorio,1.0,2026.0,5,4,379.0,379.0,356.4192851619451,293.2112724465188,651.533272507235,239.71417804466242,2382.377030009831,372.1235308232932,356.4192851619451,298.00986482808963,pool_A_full,-5.957972252784938
Cimarrón,Transitorio,2.0,2027.0,5,4,379.0,379.0,335.183923048422,242.85184005013295,761.4261584580653,158.32948166203104,1916.0070215844398,365.37182636515695,335.183923048422,234.3268589310192,pool_A_full,-11.560970171920316
Coco,Permanente,1.0,2026.0,1,1,246.0,246.0,251.32327687688027,189.01154363207843,327.8970472851444,109.86679700819033,518.376025127273,255.59451407537188,251.32327687688027,233.20537628961125,pool_A_full,2.163933689788733
Coco,Permanente,2.0,2027.0,1,1,246.0,246.0,256.7617459355001,155.1541896171292,400.427198515897,44.577323392927276,669.4902507213033,265.563234249697,256.7617459355001,221.0762094730861,pool_A_full,4.374693469715485
Coliflor,Transitorio,,,1,0,,,,,,,,,,,,
Curuba,Permanente,1.0,2026.0,4,4,136.12,136.12,139.06554653854042,116.86671085722665,230.62118945272238,101.40743570243995,530.3244713398965,141.4289644550391,139.06554653854042,129.04030821358492,pool_A_full,2.163933689788733
Curuba,Permanente,2.0,2027.0,4,4,136.12,136.12,142.07483275097673,110.49195032964732,526.7893984854387,88.75982615066036,1267.973177143056,146.9449896181657,142.07483275097673,122.32883590844098,pool_A_full,4.374693469715485
Cúrcuma o azafrán,Permanente,,,1,0,,,,,,,,,,,,
Durazno o albaricoque,Permanente,1.0,2026.0,3,1,18.0,18.0,18.389508064161973,12.97962530352618,28.436796273188648,7.410918871321258,60.9159961070184,18.702037615271113,18.389508064161973,17.06380802119107,pool_A_full,2.163933689788733
Durazno o albaricoque,Permanente,2.0,2027.0,3,1,18.0,18.0,18.787444824548786,12.19981599427342,46.4525917987021,5.664975731739373,238.85929721757938,19.43145616461198,18.787444824548786,16.17630801022581,pool_A_full,4.374693469715485
Espinaca,Transitorio,1.0,2026.0,2,2,172.0,172.0,168.8894746448483,103.3745424955914,254.68509454995186,50.93400561372782,370.11171200855114,177.3967232624409,168.8894746448483,152.7350644806739,pool_A_full,-1.808444973925416
Espinaca,Transitorio,2.0,2027.0,2,2,172.0,172.0,165.83520142914443,101.91563310820106,345.60253730486846,43.273512348235926,545.5239325119941,182.96277572238978,165.83520142914443,135.62790652276522,pool_A_full,-3.5841852156137
Fresa,Permanente,1.0,2026.0,11,7,470.85,470.85,481.0388817783703,417.4730328816324,820.0231635418448,325.50099719225994,1794.4301109304345,489.2141339528001,481.0388817783703,446.360778154323,pool_A_full,2.163933689788733
Fresa,Permanente,2.0,2027.0,11,7,470.85,470.85,491.44824420215537,402.46532389156533,1072.7342677101333,304.391728721044,2237.1739251564113,508.29450750597493,491.44824420215537,423.1452570341569,pool_A_full,4.374693469715485
Frijol,Transitorio,1.0,2026.0,37,36,2250.01,2250.01,2178.158737034566,2268.100865725077,4042.0128073385968,2095.8058095809615,6419.270910765831,2255.2358340598585,2178.158737034566,1964.3111889761271,pool_A_full,-3.1933752723514175
Frijol,Transitorio,2.0,2027.0,37,36,2250.01,2250.01,2108.601954533542,2356.103232679188,4736.064369405393,2108.01683425927,6940.374315709357,2260.473805550938,2108.601954533542,1714.889465885399,pool_A_full,-6.284774088402189
Granadilla,Permanente,1.0,2026.0,21,19,2269.0699999999997,2269.0699999999997,2318.1711701748895,2162.0042600868837,3296.523006571303,2012.528827734636,4640.11201598759,2357.568471760179,2318.1711701748895,2151.0541592580007,pool_A_full,2.163933689788755
Granadilla,Permanente,2.0,2027.0,21,19,2269.0699999999997,2269.0699999999997,2368.3348571132724,2245.9373560090507,5125.1413481329255,2106.0161229022556,9205.418806558566,2449.518568857561,2368.3348571132724,2039.1764009312822,pool_A_full,4.374693469715463
Guanábana,Permanente,1.0,2026.0,24,23,4863.93,4863.93,4969.18221991774,4637.575087826238,6517.9586622714605,4328.246430544608,9486.913349330629,5053.633434335867,4969.18221991774,4610.953763806215,pool_A_full,2.1639336897887107
Guanábana,Permanente,2.0,2027.0,24,23,4863.93,4863.93,5076.7120280815325,4749.144057859226,8907.441139897324,4304.3704785603595,14920.459509972094,5250.735699041173,5076.7120280815325,4371.1349900098685,pool_A_full,4.374693469715485
Guayaba,Permanente,1.0,2026.0,32,32,17678.7,17678.7,18061.255345216683,16591.366528592236,21857.997630499245,14868.595137234193,32481.921885547883,18368.206243838522,18061.255345216683,16759.21904801281,pool_A_full,2.163933689788733
Guayaba,Permanente,2.0,2027.0,32,32,17678.7,17678.7,18452.08893443059,16131.649145714795,24394.596938155883,14479.350744985022,29479.428230728154,19084.604672073656,18452.08893443059,15887.56091224328,pool_A_full,4.374693469715485
Gulupa o cholupa,Permanente,1.0,2026.0,2,1,25.0,25.0,25.540983422447184,21.863202055529964,39.335309815066,12.582992386247044,151.2524613077082,25.9750522434321,25.540983422447184,23.69973336276537,pool_A_full,2.163933689788733
