series_id,muni_code,muni,crop_disagg,crop,cycle,group,subgroup
76001|Acelga,76001,Santiago de Cali,Acelga,Acelga,Transitorio,Hortalizas,Hortalizas de hoja
76001|Aguacate demás variedades,76001,Santiago de Cali,Aguacate demás variedades,Aguacate,Permanente,Frutales,Demás frutales
76001|Ahuyama,76001,Santiago de Cali,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto
76001|Ají,76001,Santiago de Cali,Ají,Ají,Transitorio,Hortalizas,Hortalizas de fruto
76001|Arveja,76001,Santiago de Cali,Arveja,Arveja,Transitorio,Leguminosas,Leguminosas
76001|Café,76001,Santiago de Cali,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales
76001|Caña de azúcar,76001,Santiago de Cali,Caña de azúcar,Caña,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales
76001|Cebolla de rama,76001,Santiago de Cali,Cebolla de rama,Cebolla de rama,Transitorio,Hortalizas,Hortalizas de tallo
76001|Cilantro,76001,Santiago de Cali,Cilantro,Cilantro,Transitorio,Hortalizas,Hortalizas de hoja
76001|Espinaca,76001,Santiago de Cali,Espinaca,Espinaca,Transitorio,Hortalizas,Hortalizas de hoja
76001|Frijol,76001,Santiago de Cali,Frijol,Frijol,Transitorio,Leguminosas,Leguminosas
76001|Guanábana,76001,Santiago de Cali,Guanábana,Guanábana,Permanente,Frutales,Anonáceas
76001|Guayaba,76001,Santiago de Cali,Guayaba,Guayaba,Permanente,Frutales,Mirtáceas
76001|Habichuela,76001,Santiago de Cali,Habichuela,Habichuela,Transitorio,Leguminosas,Leguminosas
76001|Lechuga,76001,Santiago de Cali,Lechuga,Lechuga,Transitorio,Hortalizas,Hortalizas de hoja
76001|Lima,76001,Santiago de Cali,Lima,Lima,Permanente,Frutales,Cítricos
76001|Limón Tahití,76001,Santiago de Cali,Limón Tahití,Limón,Permanente,Frutales,Cítricos
76001|Mandarina Arrayana y/o Oneco,76001,Santiago de Cali,Mandarina Arrayana y/o Oneco,Mandarina,Permanente,Frutales,Cítricos
