cultivo,series_total,series_excluidas,pct_excluidas,baseline_2026_t,clean_2026_t,delta_2026_pct,baseline_2027_t,clean_2027_t,delta_2027_pct,obs_2025_base_t,obs_2025_clean_t,afectado
Acelga,3,0,0.0,43.20428421147281,43.20428421147281,0.0,42.42295850512997,42.42295850512997,0.0,44.0,44.0,False
Aguacate,71,6,8.450704225352112,119794.96649384433,103710.41273111713,-13.426735891740249,122387.25013247576,105145.21463676501,-14.088097801893118,117257.59,102295.19,True
Ahuyama,22,0,0.0,10851.885182594197,10851.885182594197,0.0,10655.634810433412,10655.634810433412,0.0,11051.75,11051.75,False
Ají,20,0,0.0,9774.478345070593,9774.478345070593,0.0,9597.712282711735,9597.712282711735,0.0,9954.5,9954.5,False
Algodón,6,0,0.0,437.2954290245501,437.2954290245501,0.0,411.2414887005706,411.2414887005706,0.0,465.0,465.0,False
Arazá,1,0,0.0,1.2770491711223593,1.2672933684750611,-0.7639332038189339,1.3046836683714436,1.2848259854246937,-1.5220304682388663,1.25,1.25,False
Arracacha,18,0,0.0,4110.597338017911,4110.597338017911,0.0,4187.922392078702,4187.922392078702,0.0,4034.7,4034.7,False
Arroz,6,0,0.0,16885.712654715295,16885.712654715295,0.0,16822.87998650123,16822.87998650123,0.0,16948.78,16948.78,False
Arveja,15,0,0.0,289.9939250341441,289.9939250341441,0.0,280.73333074078243,280.73333074078243,0.0,299.56,299.56,False
Banano,38,7,18.42105263157895,102426.91387149964,61089.02520619671,-40.35842446367529,104643.36436817588,61934.17322433516,-40.814046262478,100257.41,60255.41,True
Berenjena,10,0,0.0,864.8221208921519,864.8221208921519,0.0,849.1822887134824,849.1822887134824,0.0,880.75,880.75,False
Borojó,1,0,0.0,1189.1881881491408,1180.103584723977,-0.7639332038189117,1214.9214319874882,1196.4299576274748,-1.5220304682388552,1164.0,1164.0,False
Brevo,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Brócoli,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Cacao,35,2,5.714285714285714,1183.4859923331167,1011.1521770398838,-14.561542460971177,1199.9272610867256,1021.9484093800879,-14.83247005701408,1167.2699999999995,1000.4700000000001,True
Café,39,1,2.5641025641025643,45373.24917131006,39100.41087177245,-13.824970470715115,46003.585135303445,39517.89216682825,-14.098233755912283,44751.55,38687.340000000004,True
"Calabacín, calabaza",1,0,0.0,347.598104792304,347.598104792304,0.0,341.3119843367275,341.3119843367275,0.0,354.0,354.0,False
Caña,64,3,4.6875,27509072.01953259,27405163.855500296,-0.3777232614699533,27891234.58771296,27697773.141247474,-0.6936281212546636,27132145.799999997,27115645.8,True
Cebolla de bulbo,8,0,0.0,1948.1204517173196,1948.1204517173196,0.0,1912.889765322224,1912.889765322224,0.0,1984.0,1984.0,False
Cebolla de rama,14,0,0.0,25371.971201230474,25371.971201230474,0.0,24913.133063256017,24913.133063256017,0.0,25839.260000000002,25839.260000000002,False
Chontaduro,3,1,33.333333333333336,339.1842598500986,32.442710232961566,-90.43507789916328,346.5239823194554,32.89154522687216,-90.50814751501098,332.0,32.0,True
Cilantro,25,0,0.0,6153.20325317547,6153.20325317547,0.0,6041.925958208003,6041.925958208003,0.0,6266.53,6266.53,False
Cimarrón,5,0,0.0,356.4192851619451,356.4192851619451,0.0,335.183923048422,335.183923048422,0.0,379.0,379.0,False
Coco,1,0,0.0,251.32327687688027,249.40333491589203,-0.7639332038189228,256.7617459355001,252.85375393157975,-1.5220304682388441,246.0,246.0,False
Coliflor,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Curuba,4,0,0.0,139.06554653854042,138.00317865346028,-0.7639332038189006,142.07483275097673,139.91241050880745,-1.5220304682388663,136.12,136.12,False
Cúrcuma o azafrán,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Durazno o albaricoque,3,0,0.0,18.389508064161973,18.249024506040882,-0.7639332038189117,18.787444824548786,18.50149419011559,-1.5220304682388552,18.0,18.0,False
Espinaca,2,0,0.0,168.8894746448483,168.8894746448483,0.0,165.83520142914443,165.83520142914443,0.0,172.0,172.0,False
Fresa,11,0,0.0,481.03888177837024,477.3640660371861,-0.7639332038189117,491.44824420215537,483.96825218977364,-1.5220304682388663,470.85,470.85,False
Frijol,37,0,0.0,2178.158737034566,2178.158737034566,0.0,2108.601954533542,2108.601954533542,0.0,2250.01,2250.01,False
Granadilla,21,1,4.761904761904762,2318.1711701748895,1938.0159875006982,-16.39892634181588,2368.334857113273,1964.8278471666256,-17.037582702239828,2269.0699999999997,1911.57,True
Guanábana,24,1,4.166666666666667,4969.182219917741,4708.1773541299135,-5.252471216323162,5076.7120280815325,4773.313550794638,-5.976279048499578,4863.93,4643.93,True
Guayaba,32,3,9.375,18061.255345216683,16654.97221543821,-7.786187077804152,18452.08893443059,16885.388672609,-8.49063901322421,17678.7,16427.699999999997,True
Gulupa o cholupa,2,0,0.0,25.540983422447184,25.345867369501224,-0.7639332038189117,26.09367336742887,25.696519708493877,-1.5220304682388441,25.0,25.0,False
Habichuela,31,0,0.0,6299.5942975270045,6299.5942975270045,0.0,6098.424610971316,6098.424610971316,0.0,6507.4,6507.4,False
Lechuga,8,0,0.0,4635.230546560876,4635.230546560876,0.0,4551.404952711739,4551.404952711739,0.0,4720.6,4720.6,False
Lima,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Limón,42,3,7.142857142857143,23636.014282080643,23334.804592241624,-1.2743675234084484,24147.48195805386,23657.634491527377,-2.028565410577343,23135.38,23016.38,True
Lulo,29,3,10.344827586206897,20625.222723455834,18734.002470635864,-9.169453722646104,21071.538866562652,18993.181676825792,-9.863338424868907,20188.36,18478.36,True
Macadamia,4,0,0.0,214.54426074855633,212.9052859038103,-0.7639332038189006,219.18685628640253,215.85076555134856,-1.5220304682388663,210.0,210.0,False
"Malanga, achín, yota, papa china, bore",1,0,0.0,10.697517051872026,10.697517051872026,0.0,10.898749626199313,10.898749626199313,0.0,10.5,10.5,False
Mandarina,32,3,9.375,24496.67390866353,15118.313106907037,-38.28422110170527,25026.765688250787,15327.47035433031,-38.755688428704815,23977.81,14912.009999999998,True
Mango,24,0,0.0,3810.2243397474085,3781.116770876088,-0.7639332038189117,3892.6750678917333,3833.427367328883,-1.5220304682388663,3729.52,3729.52,False
Maracuyá,37,1,2.7027027027027026,10486.698704735314,10303.17619247783,-1.7500503964571257,10713.623910953722,10445.717490365827,-2.5006143842139616,10264.58,10162.580000000002,True
Maíz,178,0,0.0,88852.07167703181,88852.07167703181,0.0,88521.44821718885,88521.44821718885,0.0,89183.93,89183.93,False
Melón,6,0,0.0,2021.7641179868754,2021.7641179868754,0.0,1985.201626410514,1985.201626410514,0.0,2059.0,2059.0,False
Mora,24,1,4.166666666666667,3443.7418768153984,3140.657117489636,-8.801030105253993,3518.26216747717,3184.1071501188926,-9.497729317820813,3370.8,3097.7999999999997,True
Naranja,32,2,6.25,138207.71685292074,67132.1998097191,-51.42659083127717,141198.44019978892,68060.95330399982,-51.797659232143864,135280.34000000003,66216.12,True
Otras hortalizas,9,0,0.0,276.6547062859651,276.6547062859651,0.0,271.6515581550084,271.6515581550084,0.0,281.75,281.75,False
Otros cítricos,37,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Papa,4,0,0.0,9877.374077895172,9877.374077895172,0.0,10063.178821524032,10063.178821524032,0.0,9695.0,9695.0,False
Papaya,29,1,3.4482758620689653,13848.505106731505,13631.189961562819,-1.5692317942898604,14148.17757426818,13819.773314169906,-2.3211771153873184,13555.18,13445.18,True
Patilla,5,0,0.0,1005.4815234670036,1005.4815234670036,0.0,987.2979433921157,987.2979433921157,0.0,1024.0,1024.0,False
Pepino Cohombro,22,0,0.0,4808.931407402002,4808.931407402002,0.0,4721.96452906532,4721.96452906532,0.0,4897.5,4897.5,False
Perejil,3,0,0.0,47.021013873607544,47.021013873607544,0.0,44.21951491403985,44.21951491403985,0.0,50.0,50.0,False
Pimentón,31,0,0.0,14816.703068059049,14816.703068059049,0.0,14548.751146123279,14548.751146123279,0.0,15089.589999999998,15089.589999999998,False
Pitahaya,16,1,6.25,993.9324780812166,554.0403840034011,-44.25774424103997,1015.4405178281679,561.7053636119093,-44.683577841340316,972.88,546.48,True
Piña,28,1,3.5714285714285716,193815.12708814465,191272.01021816497,-1.3121353880820141,198009.15791911184,193918.2000994997,-2.066044753992302,189709.93000000002,188661.93000000002,True
Plantas aromáticas,9,0,0.0,643.6706589158136,643.6706589158136,0.0,605.3209396582915,605.3209396582915,0.0,684.45,684.45,False
Plátano,41,4,9.75609756097561,353704.82996182167,253433.33796598966,-28.348917940039197,361358.7679397755,256939.51084383813,-28.89628434679078,346213.00999999995,249975.01,True
Remolacha,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Repollo,12,0,0.0,5446.832844628896,5446.832844628896,0.0,5348.329869812085,5348.329869812085,0.0,5547.15,5547.15,False
Romero,1,0,0.0,0.06477977886215892,0.0647757718638894,-0.0061855695402290856,0.05994885356328875,0.05994143743660922,-0.01237075646776109,0.07,0.07,False
Rábano,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Sacha inchi,9,0,0.0,9.25425412316556,9.253681694841342,-0.006185569540240188,8.564121937612677,8.563062490944173,-0.01237075646776109,10.0,10.0,False
Sorgo,5,0,0.0,614.704108965916,614.704108965916,0.0,612.4167610690124,612.4167610690124,0.0,617.0,617.0,False
Soya,10,0,0.0,2929.0329962147603,2929.0329962147603,0.0,2754.5220230253703,2754.5220230253703,0.0,3114.6,3114.6,False
Stevia,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,False
Sábila,9,0,0.0,877.3032908760952,877.2490246709592,-0.006185569540240188,811.878759685682,811.7783241415076,-0.012370756467783295,948.0,948.0,False
Tomate,56,0,0.0,102077.5447311645,102077.5447311645,0.0,100231.52850396726,100231.52850396726,0.0,103957.56,103957.56,False
Tomate de árbol,16,1,6.25,1606.9569457934251,1503.4357455832303,-6.442064330421859,1641.7304285238488,1524.2353202447896,-7.156784465809296,1572.92,1482.92,True
Té,1,0,0.0,250.69774419655502,250.68223711325192,-0.00618556954025129,232.0020632899274,231.97336287967764,-0.01237075646776109,270.9,270.9,False
Uchuva,1,0,0.0,2.0432786737957747,2.027669389560098,-0.7639332038189228,2.0874938693943097,2.05572157667951,-1.5220304682388552,2.0,2.0,False
Uva,16,2,12.5,18593.73376760786,17652.281404693345,-5.0632776325679085,18996.089836794752,17896.49533009881,-5.78853077735012,18199.9,17411.4,True
Yuca,35,0,0.0,9149.637275023533,9149.637275023533,0.0,9321.752454096018,9321.752454096018,0.0,8980.7,8980.7,False
Zanahoria,4,0,0.0,782.8812682228926,782.8812682228926,0.0,768.723291275912,768.723291275912,0.0,797.3,797.3,False
Zapote,5,1,20.0,176.7436052833345,17.23518981126083,-90.24847898534637,180.5682197026078,17.473633401775835,-90.32297409225468,173.0,17.0,True
