series_id,year,P,AC,AS,n_rows,n_halves,is_semester_reporter,partial_year
76001|Acelga,2019,28.0,7.0,7.0,2,2,True,False
76001|Acelga,2020,22.0,5.5,5.5,2,2,True,False
76001|Acelga,2021,20.0,5.0,5.0,2,2,True,False
76001|Acelga,2022,15.0,5.0,5.0,2,2,True,False
76001|Acelga,2023,18.0,6.0,6.0,2,2,True,False
76001|Acelga,2024,18.0,6.0,6.0,2,2,True,False
76001|Acelga,2025,24.0,8.0,8.0,2,2,True,False
76001|Aguacate demás variedades,2019,30.0,5.0,12.0,1,0,False,False
76001|Aguacate demás variedades,2020,72.0,12.0,12.0,1,0,False,False
76001|Aguacate demás variedades,2021,72.0,12.0,12.0,1,0,False,False
76001|Aguacate demás variedades,2022,72.0,12.0,12.0,1,0,False,False
76001|Aguacate demás variedades,2023,72.0,12.0,12.0,1,0,False,False
76001|Aguacate demás variedades,2024,72.0,12.0,12.0,1,0,False,False
76001|Aguacate demás variedades,2025,72.0,12.0,12.0,1,0,False,False
76001|Ahuyama,2019,60.0,10.0,10.0,2,2,True,False
76001|Ahuyama,2020,24.0,4.0,4.0,2,2,True,False
76001|Ahuyama,2021,36.0,6.0,6.0,2,2,True,False
76001|Ahuyama,2022,30.0,5.0,5.0,2,2,True,False
76001|Ahuyama,2023,48.0,8.0,8.0,2,2,True,False
76001|Ahuyama,2024,48.0,8.0,8.0,2,2,True,False
76001|Ahuyama,2025,48.0,8.0,8.0,2,2,True,False
76001|Ají,2020,8.0,4.0,4.0,2,2,True,False
76001|Ají,2021,16.0,4.0,4.0,2,2,True,False
76001|Ají,2022,20.0,5.0,5.0,2,2,True,False
76001|Ají,2023,32.0,8.0,8.0,2,2,True,False
76001|Ají,2024,32.0,8.0,8.0,2,2,True,False
76001|Ají,2025,28.0,7.0,7.0,2,2,True,False
76001|Arveja,2019,12.0,12.0,12.0,2,2,True,False
76001|Arveja,2020,18.22,13.0,13.0,2,2,True,False
76001|Arveja,2021,16.0,16.0,16.0,2,2,True,False
76001|Arveja,2022,16.0,16.0,16.0,2,2,True,False
76001|Arveja,2023,16.0,16.0,16.0,2,2,True,False
76001|Arveja,2024,16.0,16.0,16.0,2,2,True,False
76001|Arveja,2025,16.6,16.6,16.6,2,2,True,False
76001|Café,2019,726.0,576.0,646.0,1,0,False,False
76001|Café,2020,672.0,576.0,646.0,1,0,False,False
76001|Café,2021,533.98,586.79,657.13,1,0,False,False
76001|Café,2022,496.16,602.73,663.64,1,0,False,False
76001|Café,2023,576.41,596.64,645.11,1,0,False,False
76001|Café,2024,699.67,583.06,635.34,1,0,False,False
76001|Café,2025,682.42,567.83,630.18,1,0,False,False
76001|Caña de azúcar,2019,465000.0,4650.0,4650.0,1,0,False,False
76001|Caña de azúcar,2020,465000.0,4650.0,4650.0,1,0,False,False
76001|Caña de azúcar,2021,464953.5,4650.0,4650.0,1,0,False,False
76001|Caña de azúcar,2022,465000.0,4650.0,4650.0,1,0,False,False
76001|Caña de azúcar,2023,465000.0,4650.0,4650.0,1,0,False,False
76001|Caña de azúcar,2024,465000.0,4650.0,4650.0,1,0,False,False
76001|Caña de azúcar,2025,465000.0,4650.0,4650.0,1,0,False,False
76001|Cebolla de rama,2019,7.0,1.0,1.0,1,1,True,True
76001|Cebolla de rama,2020,14.0,2.0,2.0,2,2,True,False
76001|Cebolla de rama,2021,14.0,2.0,2.0,2,2,True,False
76001|Cebolla de rama,2022,14.0,2.0,2.0,2,2,True,False
76001|Cebolla de rama,2023,28.0,4.0,4.0,2,2,True,False
76001|Cebolla de rama,2024,42.0,6.0,6.0,2,2,True,False
76001|Cebolla de rama,2025,49.0,7.0,7.0,2,2,True,False
76001|Cilantro,2019,120.0,30.0,30.0,2,2,True,False
76001|Cilantro,2020,76.0,19.0,19.0,2,2,True,False
76001|Cilantro,2021,64.0,16.0,16.0,2,2,True,False
76001|Cilantro,2022,64.0,16.0,16.0,2,2,True,False
76001|Cilantro,2023,88.0,22.0,22.0,2,2,True,False
76001|Cilantro,2024,96.0,24.0,24.0,2,2,True,False
76001|Cilantro,2025,104.0,26.0,26.0,2,2,True,False
76001|Espinaca,2025,160.0,16.0,16.0,2,2,True,False
76001|Frijol,2019,40.0,40.0,40.0,2,2,True,False
76001|Frijol,2020,35.0,35.0,35.0,2,2,True,False
76001|Frijol,2021,39.0,39.0,39.0,2,2,True,False
76001|Frijol,2022,35.99,42.0,42.0,2,2,True,False
76001|Frijol,2023,83.92,40.0,40.0,2,2,True,False
76001|Frijol,2024,83.92,40.0,40.0,2,2,True,False
76001|Frijol,2025,86.02000000000001,41.0,41.0,2,2,True,False
76001|Guanábana,2019,0.0,0.0,3.0,1,0,False,False
76001|Guayaba,2019,108.0,12.0,12.0,1,0,False,False
76001|Guayaba,2020,108.0,12.0,12.0,1,0,False,False
76001|Guayaba,2021,108.0,12.0,12.0,1,0,False,False
76001|Guayaba,2022,72.0,12.0,12.0,1,0,False,False
76001|Guayaba,2023,72.0,12.0,12.0,1,0,False,False
76001|Guayaba,2024,72.0,12.0,12.0,1,0,False,False
76001|Guayaba,2025,72.0,12.0,12.0,1,0,False,False
76001|Habichuela,2020,66.0,11.0,11.0,2,2,True,False
76001|Habichuela,2021,33.0,11.0,11.0,2,2,True,False
76001|Habichuela,2022,55.0,11.0,11.0,2,2,True,False
76001|Habichuela,2023,60.0,12.0,12.0,2,2,True,False
76001|Habichuela,2024,60.0,12.0,12.0,2,2,True,False
76001|Habichuela,2025,60.0,12.0,12.0,2,2,True,False
76001|Lechuga,2019,180.0,20.0,20.0,2,2,True,False
76001|Lechuga,2020,180.0,20.0,20.0,2,2,True,False
76001|Lechuga,2021,171.0,19.0,19.0,2,2,True,False
76001|Lechuga,2022,162.0,18.0,18.0,2,2,True,False
76001|Lechuga,2023,180.0,20.0,20.0,2,2,True,False
76001|Lechuga,2024,180.0,20.0,20.0,2,2,True,False
76001|Lechuga,2025,180.0,20.0,20.0,2,2,True,False
76001|Lima,2020,150.0,10.0,10.0,1,0,False,False
76001|Limón Tahití,2021,100.0,10.0,10.0,1,0,False,False
76001|Limón Tahití,2022,100.0,10.0,10.0,1,0,False,False
76001|Limón Tahití,2023,100.0,10.0,10.0,1,0,False,False
76001|Limón Tahití,2024,100.0,10.0,11.0,1,0,False,False
76001|Limón Tahití,2025,110.0,11.0,11.0,1,0,False,False
76001|Mandarina Arrayana y/o Oneco,2021,57.44,6.38,6.38,1,0,False,False
76001|Mandarina Arrayana y/o Oneco,2022,57.42,6.38,6.38,1,0,False,False
76001|Mandarina Arrayana y/o Oneco,2023,57.42,6.38,6.38,1,0,False,False
76001|Mandarina Arrayana y/o Oneco,2024,57.42,6.38,6.38,1,0,False,False
76001|Mandarina Arrayana y/o Oneco,2025,57.42,6.38,6.38,1,0,False,False
"76001|Mango Kent, Keitt, Hilacha o Nam Doc",2020,0.0,0.0,5.0,1,0,False,False
"76001|Mango Kent, Keitt, Hilacha o Nam Doc",2021,30.0,5.0,5.0,1,0,False,False
"76001|Mango Kent, Keitt, Hilacha o Nam Doc",2022,30.0,5.0,5.0,1,0,False,False
"76001|Mango Kent, Keitt, Hilacha o Nam Doc",2023,30.0,5.0,5.0,1,0,False,False
"76001|Mango Kent, Keitt, Hilacha o Nam Doc",2024,30.0,5.0,5.0,1,0,False,False
"76001|Mango Kent, Keitt, Hilacha o Nam Doc",2025,30.0,5.0,5.0,1,0,False,False
76001|Mango demás variedades,2019,0.0,0.0,5.0,1,0,False,False
76001|Maíz amarillo tradicional,2021,21.0,7.0,7.0,2,2,True,False
76001|Maíz amarillo tradicional,2022,9.0,9.0,9.0,2,2,True,False
76001|Maíz amarillo tradicional,2023,12.0,12.0,12.0,2,2,True,False
76001|Maíz amarillo tradicional,2024,14.0,14.0,14.0,2,2,True,False
76001|Maíz amarillo tradicional,2025,14.0,14.0,14.0,2,2,True,False
76001|Maíz blanco tradicional,2021,9.0,3.0,3.0,2,2,True,False
76001|Maíz blanco tradicional,2022,5.0,5.0,5.0,2,2,True,False
76001|Maíz blanco tradicional,2023,6.0,6.0,6.0,2,2,True,False
76001|Maíz blanco tradicional,2024,6.0,6.0,6.0,2,2,True,False
76001|Maíz blanco tradicional,2025,6.0,6.0,6.0,2,2,True,False
76001|Maíz tradicional,2019,160.0,80.0,80.0,2,2,True,False
76001|Maíz tradicional,2020,26.4,6.6,6.6,2,2,True,False
76001|Mora,2019,80.0,10.0,10.0,1,0,False,False
76001|Mora,2020,80.0,10.0,10.0,1,0,False,False
76001|Mora,2021,80.0,10.0,10.0,1,0,False,False
76001|Mora,2022,80.0,10.0,10.0,1,0,False,False
76001|Mora,2023,35.0,5.0,5.0,1,0,False,False
76001|Mora,2024,35.0,5.0,7.0,1,0,False,False
76001|Mora,2025,49.0,7.0,7.0,1,0,False,False
76001|Naranja Valencia,2021,461.97,33.0,33.0,1,0,False,False
76001|Naranja Valencia,2022,462.0,33.0,33.0,1,0,False,False
76001|Naranja Valencia,2023,330.0,33.0,33.0,1,0,False,False
76001|Naranja Valencia,2024,330.0,33.0,33.0,1,0,False,False
76001|Naranja Valencia,2025,330.0,33.0,33.0,1,0,False,False
76001|Otros cítricos,2019,420.0,28.0,49.0,1,0,False,False
76001|Otros cítricos,2020,735.0,49.0,49.0,1,0,False,False
76001|Perejil,2019,40.0,10.0,10.0,2,2,True,False
76001|Perejil,2020,33.25,9.5,9.5,2,2,True,False
76001|Perejil,2021,36.0,9.0,9.0,2,2,True,False
76001|Perejil,2022,32.0,8.0,8.0,2,2,True,False
76001|Perejil,2023,40.0,10.0,10.0,2,2,True,False
76001|Perejil,2024,40.0,10.0,10.0,2,2,True,False
76001|Perejil,2025,40.0,10.0,10.0,2,2,True,False
76001|Pimentón,2019,22.0,2.0,2.0,2,2,True,False
76001|Pimentón,2020,41.8,3.8,3.8,2,2,True,False
76001|Pimentón,2021,44.0,4.0,4.0,2,2,True,False
76001|Pimentón,2022,44.0,4.0,4.0,2,2,True,False
76001|Pimentón,2023,30.0,3.0,3.0,2,2,True,False
76001|Pimentón,2024,40.0,4.0,4.0,2,2,True,False
76001|Pimentón,2025,35.0,3.5,3.5,2,2,True,False
76001|Plantas aromáticas,2019,150.0,50.0,50.0,2,2,True,False
76001|Plantas aromáticas,2020,129.0,43.0,43.0,2,2,True,False
76001|Plantas aromáticas,2021,64.5,21.5,21.5,1,0,False,False
76001|Plantas aromáticas,2022,64.5,21.5,23.0,1,0,False,False
76001|Plantas aromáticas,2023,69.0,23.0,23.0,1,0,False,False
76001|Plantas aromáticas,2024,69.0,23.0,23.0,1,0,False,False
76001|Plantas aromáticas,2025,69.0,23.0,25.0,1,0,False,False
76001|Plátano consumo interno,2019,198.0,33.0,33.0,1,0,False,False
76001|Plátano consumo interno,2020,198.0,33.0,33.0,1,0,False,False
76001|Plátano consumo interno,2021,198.0,33.0,33.0,1,0,False,False
76001|Plátano consumo interno,2022,186.0,31.0,31.0,1,0,False,False
76001|Plátano consumo interno,2023,124.0,31.0,31.0,1,0,False,False
76001|Plátano consumo interno,2024,120.0,30.0,30.0,1,0,False,False
76001|Plátano consumo interno,2025,120.0,30.0,30.0,1,0,False,False
76001|Repollo,2019,120.0,6.0,6.0,2,2,True,False
76001|Repollo,2020,116.0,5.8,5.8,2,2,True,False
76001|Repollo,2021,84.0,6.0,6.0,2,2,True,False
76001|Repollo,2022,84.0,6.0,6.0,2,2,True,False
76001|Repollo,2023,84.0,6.0,6.0,2,2,True,False
76001|Repollo,2024,84.0,6.0,6.0,2,2,True,False
76001|Repollo,2025,84.0,6.0,6.0,2,2,True,False
76001|Tomate,2019,48.0,4.0,4.0,2,2,True,False
76001|Tomate,2020,45.6,3.8,3.8,2,2,True,False
76001|Tomate,2021,36.0,4.0,4.0,2,2,True,False
76001|Tomate,2022,64.0,4.0,4.0,2,2,True,False
76001|Tomate,2023,96.0,6.0,6.0,2,2,True,False
76001|Tomate,2024,93.0,6.0,6.0,2,2,True,False
76001|Tomate,2025,90.0,6.0,6.0,2,2,True,False
76001|Tomate de árbol,2019,48.0,6.0,6.0,1,0,False,False
76001|Tomate de árbol,2020,48.0,6.0,6.0,1,0,False,False
76001|Tomate de árbol,2021,48.0,6.0,6.0,1,0,False,False
76001|Tomate de árbol,2022,48.0,6.0,6.0,1,0,False,False
76001|Tomate de árbol,2023,48.0,6.0,6.0,1,0,False,False
76001|Tomate de árbol,2024,48.0,6.0,6.0,1,0,False,False
76001|Tomate de árbol,2025,48.0,6.0,6.0,1,0,False,False
76001|Tomate invernadero,2019,240.0,12.0,12.0,2,2,True,False
76001|Tomate invernadero,2020,240.0,12.0,12.0,2,2,True,False
76001|Tomate invernadero,2021,260.0,13.0,13.0,2,2,True,False
76001|Tomate invernadero,2022,300.0,15.0,15.0,2,2,True,False
76001|Tomate invernadero,2023,1440.0,16.0,16.0,2,2,True,False
76001|Tomate invernadero,2024,1600.0,16.0,16.0,2,2,True,False
76001|Tomate invernadero,2025,800.0,8.0,8.0,2,2,True,False
76001|Yuca consumo en fresco,2019,208.0,16.0,16.0,1,1,True,True
76001|Yuca consumo en fresco,2020,208.0,16.0,16.0,2,2,True,False
76001|Yuca consumo en fresco,2021,160.0,16.0,16.0,2,2,True,False
76001|Yuca consumo en fresco,2022,140.0,13.0,16.0,2,2,True,False
76001|Yuca consumo en fresco,2023,160.0,16.0,16.0,2,2,True,False
76001|Yuca consumo en fresco,2024,160.0,16.0,16.0,2,2,True,False
76001|Yuca consumo en fresco,2025,160.0,16.0,16.0,2,2,True,False
76001|Zanahoria,2019,144.0,8.0,8.0,2,2,True,False
76001|Zanahoria,2020,129.5,7.5,7.5,2,2,True,False
76001|Zanahoria,2021,105.0,7.0,7.0,2,2,True,False
76001|Zanahoria,2022,105.0,7.0,7.0,2,2,True,False
76001|Zanahoria,2023,120.0,8.0,8.0,2,2,True,False
76001|Zanahoria,2024,120.0,8.0,8.0,2,2,True,False
76001|Zanahoria,2025,120.0,8.0,8.0,2,2,True,False
76020|Aguacate Hass,2020,60.0,6.0,7.0,1,0,False,False
76020|Aguacate Hass,2021,126.07,7.0,7.0,1,0,False,False
76020|Aguacate Hass,2022,126.0,7.0,7.0,1,0,False,False
76020|Aguacate Hass,2023,126.0,7.0,7.0,1,0,False,False
76020|Aguacate Hass,2024,126.0,7.0,17.0,1,0,False,False
76020|Aguacate Hass,2025,126.0,7.0,17.0,1,0,False,False
76020|Aguacate Papelillo,2020,1344.2,57.2,72.2,1,0,False,False
76020|Aguacate Papelillo,2021,1291.32,71.7,76.7,1,0,False,False
76020|Aguacate Papelillo,2022,940.5,62.7,62.7,1,0,False,False
76020|Aguacate Papelillo,2023,940.5,62.7,62.7,1,0,False,False
76020|Aguacate Papelillo,2024,940.5,62.7,72.7,1,0,False,False
76020|Aguacate Papelillo,2025,1003.2,62.7,77.7,1,0,False,False
76020|Aguacate demás variedades,2019,1185.6,141.9,141.9,1,0,False,False
76020|Aguacate demás variedades,2020,1246.4,77.9,83.9,1,0,False,False
76020|Aguacate demás variedades,2021,1325.54,73.6,82.9,1,0,False,False
76020|Aguacate demás variedades,2022,1243.5,82.9,82.9,1,0,False,False
76020|Aguacate demás variedades,2023,1243.5,82.9,82.9,1,0,False,False
76020|Aguacate demás variedades,2024,1243.5,82.9,87.9,1,0,False,False
76020|Aguacate demás variedades,2025,1326.4,82.9,92.9,1,0,False,False
76020|Banano consumo interno,2019,2204.4,100.2,100.2,1,0,False,False
76020|Banano consumo interno,2020,1436.4,34.2,58.2,1,0,False,False
76020|Banano consumo interno,2021,1073.4,50.3,60.3,1,0,False,False
76020|Banano consumo interno,2022,1184.4,65.8,65.8,1,0,False,False
76020|Banano consumo interno,2023,698.4,38.8,68.8,1,0,False,False
76020|Banano consumo interno,2024,1238.4,68.8,88.8,1,0,False,False
76020|Banano consumo interno,2025,1687.2,88.8,98.8,1,0,False,False
76020|Cacao,2019,12.0,20.0,20.0,1,0,False,False
76020|Cacao,2020,6.79,20.0,27.0,1,0,False,False
76020|Cacao,2021,14.0,28.0,39.6,1,0,False,False
76020|Cacao,2022,15.84,39.6,39.6,1,0,False,False
76020|Cacao,2023,15.84,39.6,39.6,1,0,False,False
76020|Cacao,2024,15.84,39.6,64.6,1,0,False,False
76020|Cacao,2025,19.8,39.6,74.6,1,0,False,False
76020|Café,2019,1258.0,958.0,1294.0,1,0,False,False
76020|Café,2020,1044.0,860.0,1190.0,1,0,False,False
76020|Café,2021,907.41,889.62,1183.7,1,0,False,False
76020|Café,2022,714.99,903.23,1189.59,1,0,False,False
76020|Café,2023,797.25,837.19,1191.51,1,0,False,False
76020|Café,2024,935.96,843.21,1198.14,1,0,False,False
76020|Café,2025,973.5,845.25,1171.72,1,0,False,False
76020|Frijol,2019,45.68,35.2,35.2,2,2,True,False
76020|Frijol,2020,112.41,124.9,124.9,2,2,True,False
76020|Frijol,2021,171.48000000000002,130.32999999999998,130.32999999999998,2,2,True,False
76020|Frijol,2022,92.10000000000001,70.6,70.6,2,2,True,False
76020|Frijol,2023,67.2,56.0,56.0,2,2,True,False
76020|Frijol,2024,54.0,45.0,45.0,2,2,True,False
76020|Frijol,2025,58.739999999999995,70.0,70.0,2,2,True,False
76020|Guanábana,2019,130.0,13.0,13.0,1,0,False,False
76020|Guanábana,2020,130.0,13.0,13.0,1,0,False,False
76020|Guanábana,2021,331.63,13.0,13.0,1,0,False,False
76020|Guanábana,2022,260.0,13.0,13.0,1,0,False,False
76020|Guanábana,2023,260.0,13.0,13.0,1,0,False,False
76020|Guanábana,2024,260.0,13.0,13.0,1,0,False,False
76020|Guanábana,2025,260.0,13.0,23.0,1,0,False,False
76020|Guayaba,2019,160.0,16.0,16.0,1,0,False,False
76020|Guayaba,2020,720.0,18.0,21.0,1,0,False,False
76020|Guayaba,2021,431.34,21.0,21.0,1,0,False,False
76020|Guayaba,2022,336.0,21.0,21.0,1,0,False,False
76020|Guayaba,2023,357.0,21.0,21.0,1,0,False,False
76020|Guayaba,2024,357.0,21.0,21.0,1,0,False,False
76020|Guayaba,2025,367.5,21.0,31.0,1,0,False,False
76020|Habichuela,2019,537.28,58.400000000000006,59.3,2,2,True,False
76020|Habichuela,2020,636.0,53.0,53.0,2,2,True,False
76020|Habichuela,2021,738.64,61.379999999999995,61.379999999999995,2,2,True,False
76020|Habichuela,2022,244.24,21.65,26.55,2,2,True,False
76020|Habichuela,2023,218.0,23.0,23.0,2,2,True,False
76020|Habichuela,2024,140.0,15.0,15.0,2,2,True,False
76020|Habichuela,2025,100.0,10.0,10.0,2,2,True,False
76020|Limón Tahití,2021,265.89,13.68,29.68,1,0,False,False
76020|Limón Tahití,2022,445.2,29.68,29.68,1,0,False,False
76020|Limón Tahití,2023,445.2,29.68,29.68,1,0,False,False
76020|Limón Tahití,2024,445.2,29.68,79.68,1,0,False,False
76020|Limón Tahití,2025,474.88,29.68,99.68,1,0,False,False
76020|Lulo,2019,144.0,8.0,8.0,1,0,False,False
76020|Lulo,2020,144.0,8.0,11.0,1,0,False,False
76020|Lulo,2021,235.84,11.0,11.0,1,0,False,False
76020|Lulo,2022,110.0,11.0,15.0,1,0,False,False
76020|Lulo,2024,0.0,0.0,15.0,1,0,False,False
76020|Lulo,2025,112.5,15.0,17.0,1,0,False,False
76020|Mandarina Arrayana y/o Oneco,2020,1000.0,25.0,48.0,1,0,False,False
76020|Mandarina Arrayana y/o Oneco,2021,3058.58,76.46,88.01,1,0,False,False
76020|Mandarina Arrayana y/o Oneco,2022,4032.48,84.01,84.01,1,0,False,False
76020|Mandarina Arrayana y/o Oneco,2023,3864.46,84.01,84.01,1,0,False,False
76020|Mandarina Arrayana y/o Oneco,2024,3864.46,84.01,94.01,1,0,False,False
76020|Mandarina Arrayana y/o Oneco,2025,3360.4,84.01,99.01,1,0,False,False
76020|Maracuyá,2019,90.0,5.0,5.0,1,0,False,False
76020|Maracuyá,2020,125.0,5.0,11.0,1,0,False,False
76020|Maracuyá,2021,351.23,11.0,14.0,1,0,False,False
76020|Maracuyá,2022,574.0,20.5,20.5,1,0,False,False
76020|Maracuyá,2023,574.0,20.5,20.5,1,0,False,False
76020|Maracuyá,2024,574.0,20.5,30.5,1,0,False,False
76020|Maracuyá,2025,854.0,30.5,32.5,1,0,False,False
76020|Maíz amarillo tradicional,2021,49.85,40.6,40.6,2,2,True,False
76020|Maíz amarillo tradicional,2022,76.68,61.1,38.5,2,2,True,False
76020|Maíz amarillo tradicional,2023,35.69,26.5,26.5,2,2,True,False
76020|Maíz amarillo tradicional,2024,13.42,12.0,15.0,2,2,True,False
76020|Maíz amarillo tradicional,2025,27.97,25.0,27.0,2,2,True,False
76020|Maíz blanco tradicional,2021,9.02,6.44,6.44,1,1,True,True
76020|Maíz blanco tradicional,2022,5.67,4.05,4.05,1,1,True,True
76020|Maíz tradicional,2019,1.95,1.3,1.5,2,2,True,False
76020|Maíz tradicional,2020,125.8,62.9,62.9,2,2,True,False
76020|Naranja Valencia,2020,189.71,19.99,19.99,1,0,False,False
76020|Naranja Valencia,2021,11381.38,287.19,329.64,1,0,False,False
76020|Naranja Valencia,2022,9889.2,329.64,329.64,1,0,False,False
76020|Naranja Valencia,2023,9889.2,329.64,329.64,1,0,False,False
76020|Naranja Valencia,2024,9889.2,329.64,329.64,1,0,False,False
76020|Naranja Valencia,2025,9889.2,329.64,329.64,1,0,False,False
76020|Otros cítricos,2019,7772.0,198.3,198.3,1,0,False,False
76020|Otros cítricos,2020,6345.6,198.3,321.3,1,0,False,False
"76020|Papaya Hawaiana, Maradol, Melona, redonda y/o Tainung",2020,260.0,4.0,7.4,1,0,False,False
"76020|Papaya Hawaiana, Maradol, Melona, redonda y/o Tainung",2021,756.59,10.1,15.7,1,0,False,False
"76020|Papaya Hawaiana, Maradol, Melona, redonda y/o Tainung",2022,628.0,15.7,15.7,1,0,False,False
"76020|Papaya Hawaiana, Maradol, Melona, redonda y/o Tainung",2023,628.0,15.7,25.7,1,0,False,False
"76020|Papaya Hawaiana, Maradol, Melona, redonda y/o Tainung",2024,1028.0,25.7,35.7,1,0,False,False
"76020|Papaya Hawaiana, Maradol, Melona, redonda y/o Tainung",2025,1606.5,35.7,46.7,1,0,False,False
76020|Papaya demás variedades,2019,240.0,6.0,6.0,1,0,False,False
76020|Papaya demás variedades,2020,80.0,2.0,2.0,1,0,False,False
76020|Pimentón,2019,307.74,23.0,24.700000000000003,2,2,True,False
76020|Pimentón,2020,1726.4,33.2,33.2,2,2,True,False
76020|Pimentón,2021,844.0,27.0,27.0,2,2,True,False
76020|Pimentón,2022,224.3,10.54,12.440000000000001,2,2,True,False
76020|Pimentón,2023,155.2,7.4,7.4,2,2,True,False
76020|Pimentón,2024,205.0,10.0,10.0,2,2,True,False
76020|Pimentón,2025,138.0,6.0,6.0,2,2,True,False
"76020|Piña Cayena, Gold, Manzana y/o Perolera",2020,732.7,8.62,20.02,1,0,False,False
"76020|Piña Cayena, Gold, Manzana y/o Perolera",2021,2939.86,36.52,43.82,1,0,False,False
"76020|Piña Cayena, Gold, Manzana y/o Perolera",2022,2507.4,35.82,35.82,1,0,False,False
"76020|Piña Cayena, Gold, Manzana y/o Perolera",2023,2435.76,35.82,35.82,1,0,False,False
"76020|Piña Cayena, Gold, Manzana y/o Perolera",2024,2435.76,35.82,47.82,1,0,False,False
